alpha,amp,Qmin_over_Qmean,R,OSI,rho,field_eps,err_TAWSS,err_R,err_OSI,err_RRT,smooth_err_RRT
4,2.5,0.400041,0.862381,0.0688093,0.01,0.119683,0.0113351,0.00795207,0.0498313,0.0140349,2.22045e-16
4,2.5,0.400041,0.862381,0.0688093,0.02,0.23681,0.0231569,0.0129369,0.0810687,0.0270781,2.22045e-16
4,2.5,0.400041,0.862381,0.0688093,0.05,0.550853,0.0537198,0.0283862,0.177881,0.059269,2.22045e-16
4,2.6,0.376043,0.853269,0.0733654,0.01,0.121202,0.0109209,0.00753976,0.0438452,0.0145853,2.22045e-16
4,2.6,0.376043,0.853269,0.0733654,0.02,0.239815,0.0234224,0.013525,0.0786505,0.0281243,2.22045e-16
4,2.6,0.376043,0.853269,0.0733654,0.05,0.557845,0.0550161,0.0299746,0.174308,0.0614903,2.22045e-16
4,2.7,0.352044,0.844348,0.0778262,0.01,0.122605,0.0107435,0.00739907,0.0401368,0.0151349,0
4,2.7,0.352044,0.844348,0.0778262,0.02,0.242592,0.0237536,0.0143702,0.0779525,0.0291682,0
4,2.7,0.352044,0.844348,0.0778262,0.05,0.564304,0.0563182,0.031618,0.171514,0.0637051,0
4,2.8,0.328046,0.835285,0.0823575,0.01,0.123903,0.0109301,0.00745701,0.0378152,0.0156837,0
4,2.8,0.328046,0.835285,0.0823575,0.02,0.24516,0.0241628,0.0154082,0.0781366,0.0302097,0
4,2.8,0.328046,0.835285,0.0823575,0.05,0.570277,0.0574639,0.0333296,0.169017,0.0659141,0
4,2.9,0.304048,0.825504,0.0872482,0.01,0.125105,0.0112199,0.00782121,0.0370004,0.0162318,0
4,2.9,0.304048,0.825504,0.0872482,0.02,0.247538,0.0244373,0.0164196,0.0776775,0.0312491,0
4,2.9,0.304048,0.825504,0.0872482,0.05,0.575808,0.0587868,0.0351826,0.166441,0.0681176,0
4,3,0.280049,0.815039,0.0924804,0.01,0.126219,0.0117982,0.0081352,0.0358482,0.0167792,0
4,3,0.280049,0.815039,0.0924804,0.02,0.249742,0.0248125,0.0175227,0.0772149,0.0322863,0
4,3,0.280049,0.815039,0.0924804,0.05,0.580936,0.0598759,0.0370352,0.163197,0.0703163,0
8,0.3,0.928005,1,0,0.01,0.0449666,0.00316742,0,nan,0.00315578,0
8,0.3,0.928005,1,0,0.02,0.0889579,0.00621831,0,nan,0.00617323,0
8,0.3,0.928005,1,0,0.05,0.2067,0.0142293,0,nan,0.0139666,0
8,0.4,0.904007,1,0,0.01,0.0579581,0.00422323,0,nan,0.00420268,2.22045e-16
8,0.4,0.904007,1,0,0.02,0.114659,0.00817272,0.000460275,nan,0.00821204,2.22045e-16
8,0.4,0.904007,1,0,0.05,0.266419,0.018921,0.000431599,nan,0.0185178,2.22045e-16
8,0.5,0.880008,0.989541,0.00522974,0.01,0.0695763,0.0045959,0.00176352,0.166841,0.00524715,0
8,0.5,0.880008,0.989541,0.00522974,0.02,0.137644,0.00926225,0.00279263,0.264202,0.0102421,0
8,0.5,0.880008,0.989541,0.00522974,0.05,0.319825,0.0221197,0.00333336,0.315359,0.0230245,0
